City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Pidhaytsi,UA,2020-06-16 01:00:59,49.27,25.13,2,90,68.0,5.99
Iguape,BR,2020-06-16 01:00:28,-24.71,-47.56,97,90,67.57,8.39
Charters Towers,AU,2020-06-16 01:00:59,-20.1,146.27,84,68,74.39,8.95
Maragogi,BR,2020-06-16 01:00:59,-9.01,-35.22,55,85,76.24,14.45
Narsaq,GL,2020-06-16 01:01:00,60.92,-46.05,100,86,41.0,3.36
Atar,MR,2020-06-16 01:01:00,20.52,-13.05,22,19,93.34,15.12
Tyup,KG,2020-06-16 01:01:00,42.73,78.36,94,35,70.3,7.78
Fare,PF,2020-06-16 01:01:00,-16.7,-151.02,36,83,79.79,12.62
São Francisco,BR,2020-06-16 01:01:00,-15.95,-44.86,10,87,63.84,3.76
Lagunas,PE,2020-06-16 01:01:00,-5.23,-75.68,96,98,72.37,1.3
Yar-Sale,RU,2020-06-16 01:01:00,66.83,70.83,100,59,48.33,15.5
Hirara,JP,2020-06-16 01:01:00,24.8,125.28,40,74,87.8,19.46
Manado,ID,2020-06-16 01:01:00,1.49,124.85,40,74,86.0,5.82
Duku,NG,2020-06-16 01:01:01,11.24,4.91,89,71,78.49,9.15
Marystown,CA,2020-06-16 01:01:01,47.17,-55.15,100,95,49.15,6.42
Angoche,MZ,2020-06-16 01:01:01,-16.23,39.91,75,85,71.15,10.16
Bathsheba,BB,2020-06-16 01:01:01,13.22,-59.52,75,74,80.6,18.34
Sioux Lookout,CA,2020-06-16 01:01:01,50.1,-91.92,40,68,66.2,14.99
Ngunguru,NZ,2020-06-16 01:01:01,-35.62,174.5,100,96,57.0,1.01
Comodoro Rivadavia,AR,2020-06-16 01:00:14,-45.87,-67.5,40,93,41.0,2.44
Tazmalt,DZ,2020-06-16 01:01:01,36.39,4.4,17,82,59.0,6.93
Buraidah,SA,2020-06-16 01:00:29,26.33,43.98,0,24,89.6,16.11
Ulaanbaatar,MN,2020-06-16 01:01:02,47.91,106.88,75,14,84.2,15.66
Tsumeb,NA,2020-06-16 01:01:02,-19.23,17.72,0,48,50.81,8.68
Saint-Augustin,CA,2020-06-16 01:01:03,51.23,-58.65,87,52,52.7,9.44
Yangi Marg`ilon,UZ,2020-06-16 01:01:03,40.43,71.72,0,27,86.0,4.7
Lavrentiya,RU,2020-06-16 01:01:03,65.58,-171.0,10,56,51.75,3.09
Chaman,PK,2020-06-16 01:01:03,30.92,66.45,0,8,95.77,17.72
Esim,GH,2020-06-16 01:01:03,4.87,-2.24,97,83,78.3,4.27
Richards Bay,ZA,2020-06-16 01:01:03,-28.78,32.04,1,74,54.86,8.19
Abhar,IR,2020-06-16 01:01:03,36.15,49.22,0,21,78.58,1.97
Alofi,NU,2020-06-16 01:01:03,-19.06,-169.92,10,69,73.4,18.34
Bundaberg,AU,2020-06-16 01:01:03,-24.85,152.35,90,64,77.0,9.17
Tandaltī,SD,2020-06-16 01:01:04,13.02,31.87,100,68,78.8,22.79
De Aar,ZA,2020-06-16 01:01:04,-30.65,24.01,0,72,37.06,10.69
Hofn,IS,2020-06-16 01:01:04,64.25,-15.21,39,80,47.37,10.54
Mokhsogollokh,RU,2020-06-16 01:01:04,61.47,128.92,73,49,70.36,6.06
Pokhara,NP,2020-06-16 01:01:04,28.23,83.98,53,56,85.08,5.08
Kirtipur,NP,2020-06-16 01:01:04,27.67,85.28,75,94,73.4,8.05
Alvorada,BR,2020-06-16 01:01:04,-12.48,-49.12,0,62,69.82,6.04
Valparaíso,CL,2020-06-16 01:01:04,-33.04,-71.63,90,71,57.2,9.17
Saint-Louis,SN,2020-06-16 01:01:05,16.33,-15.0,45,48,84.2,4.7
Immokalee,US,2020-06-16 01:01:05,26.42,-81.42,0,97,73.99,3.0
Kieta,PG,2020-06-16 01:01:05,-6.22,155.63,49,73,83.79,5.03
Pinsk,BY,2020-06-16 01:01:05,52.12,26.1,14,90,62.92,7.34
Brigantine,US,2020-06-16 01:01:05,39.41,-74.36,1,77,62.01,4.7
Teknāf,BD,2020-06-16 01:01:05,20.86,92.31,99,79,85.98,13.76
Pisco,PE,2020-06-16 00:59:08,-13.7,-76.22,90,82,64.4,6.93
Ojinaga,MX,2020-06-16 01:01:05,29.57,-104.42,1,28,84.2,17.22
Yumen,CN,2020-06-16 01:01:05,40.28,97.2,98,16,82.44,10.0
Santa Clara,CU,2020-06-16 01:01:05,22.4,-79.97,75,94,73.4,4.7
Knysna,ZA,2020-06-16 01:01:06,-34.04,23.05,0,81,50.0,6.93
Broken Hill,AU,2020-06-16 01:01:06,-31.95,141.43,1,39,64.4,13.87
Muncar,ID,2020-06-16 01:01:06,-8.43,114.33,14,71,84.88,8.59
Nouadhibou,MR,2020-06-16 01:01:06,20.93,-17.03,29,45,84.2,21.92
Cayenne,GF,2020-06-16 01:01:06,4.93,-52.33,90,100,77.0,3.47
Yerbogachën,RU,2020-06-16 01:01:06,61.28,108.01,66,37,64.76,7.14
Thinadhoo,MV,2020-06-16 01:01:06,0.53,72.93,52,77,84.25,11.59
Gamba,GA,2020-06-16 01:01:06,-2.65,10.0,55,93,71.26,3.47
Huilong,CN,2020-06-16 01:01:06,31.81,121.66,100,84,77.0,1.99
Zafra,ES,2020-06-16 01:01:07,38.42,-6.42,39,81,57.0,5.99
Port Shepstone,ZA,2020-06-16 01:01:07,-30.74,30.45,0,50,55.09,9.26
Vágur,FO,2020-06-16 01:01:07,61.47,-6.81,66,93,50.77,5.17
Klyuchi,RU,2020-06-16 01:01:07,52.27,79.17,67,41,65.34,13.27
Mattru,SL,2020-06-16 01:01:07,7.62,-11.83,38,99,73.89,2.71
Homnābād,IN,2020-06-16 01:01:07,17.77,77.13,100,78,80.04,18.72
Wanning,CN,2020-06-16 01:01:07,18.8,110.4,97,83,80.82,18.07
Mitú,CO,2020-06-16 00:59:49,1.2,-70.17,77,98,70.95,1.1
Pangody,RU,2020-06-16 01:01:07,65.85,74.49,100,88,51.8,15.37
Corn Island,NI,2020-06-16 01:01:08,12.17,-83.04,99,80,82.74,14.03
Kalmunai,LK,2020-06-16 01:01:08,7.42,81.82,100,55,89.85,2.75
Inhambane,MZ,2020-06-16 01:01:08,-23.86,35.38,75,88,62.6,11.18
Baruun-Urt,MN,2020-06-16 01:01:08,46.68,113.28,47,14,88.47,13.62
College,US,2020-06-16 01:01:08,64.86,-147.8,75,77,62.6,1.41
Tuy Hoa,VN,2020-06-16 01:01:08,13.08,109.3,100,59,89.15,2.42
Kayes,ML,2020-06-16 01:01:08,14.0,-11.0,80,57,82.44,5.93
Caravelas,BR,2020-06-16 01:01:08,-17.71,-39.25,100,76,75.4,10.71
Vestmannaeyjar,IS,2020-06-16 01:01:08,63.44,-20.27,94,70,47.48,8.12
Ndendé,GA,2020-06-16 01:01:08,-2.4,11.36,81,94,70.92,1.14
Emba,KZ,2020-06-16 01:01:09,48.83,58.14,0,35,71.96,11.41
Santa Marta,CO,2020-06-16 00:57:44,11.24,-74.2,100,80,80.31,5.26
Vila Franca do Campo,PT,2020-06-16 00:59:19,37.72,-25.43,20,72,62.6,8.05
Durango,MX,2020-06-16 00:58:40,24.83,-104.83,0,33,68.05,5.03
Machico,PT,2020-06-16 01:01:09,32.7,-16.77,75,83,69.8,5.82
Leningradskiy,RU,2020-06-16 01:01:09,69.38,178.42,0,67,51.06,7.43
Vanimo,PG,2020-06-16 01:01:09,-2.67,141.3,68,64,85.5,5.55
Portland,US,2020-06-16 00:59:27,45.52,-122.68,85,74,57.99,6.08
Port Hardy,CA,2020-06-16 01:00:59,50.7,-127.42,75,93,51.8,4.7
Biritiba-Mirim,BR,2020-06-16 01:01:10,-23.57,-46.04,40,82,69.01,6.93
Batī,ET,2020-06-16 01:01:10,11.18,40.02,40,29,79.54,6.17
Ma’anshan,CN,2020-06-16 01:01:10,31.7,118.5,90,100,72.0,8.95
Santa Maria,BR,2020-06-16 01:00:10,-29.68,-53.81,12,94,57.54,4.85
Tancanhuitz,MX,2020-06-16 01:01:10,21.6,-98.97,10,83,71.11,2.24
Alice Springs,AU,2020-06-16 01:00:10,-23.7,133.88,79,20,64.4,16.11
Vezirköprü,TR,2020-06-16 01:01:10,41.14,35.45,40,93,60.8,2.42
Manta,EC,2020-06-16 01:00:07,-0.95,-80.73,66,83,71.82,11.79
Iwanai,JP,2020-06-16 01:01:10,42.97,140.51,99,89,60.67,3.58
Baker City,US,2020-06-16 01:01:10,44.77,-117.83,90,81,53.6,12.75
Bergen,NO,2020-06-16 01:01:10,60.39,5.33,37,87,60.01,10.29
Price,US,2020-06-16 01:01:10,39.6,-110.81,1,17,75.2,4.7
Magadan,RU,2020-06-16 01:01:11,59.57,150.8,0,48,59.04,10.36
Khovd,MN,2020-06-16 01:01:11,48.01,91.64,3,25,75.33,9.78
Pemangkat,ID,2020-06-16 01:01:11,1.17,108.97,98,81,81.81,9.57
Ol'ga,RU,2020-06-16 01:01:11,43.74,135.29,92,67,62.01,3.36
Nicoya,CR,2020-06-16 01:01:11,10.15,-85.45,100,91,76.73,1.66
Oddur,SO,2020-06-16 01:01:11,4.12,43.89,87,69,74.64,22.44
Zhezkazgan,KZ,2020-06-16 01:01:11,47.8,67.71,75,48,60.8,22.37
Caucayá,CO,2020-06-16 01:01:11,-0.19,-74.78,37,97,70.39,0.96
Warrnambool,AU,2020-06-16 01:01:11,-38.38,142.48,90,89,55.0,21.36
Half Moon Bay,US,2020-06-16 00:57:28,37.46,-122.43,20,87,61.0,11.41
Ivdel',RU,2020-06-16 01:01:12,60.69,60.42,61,44,73.38,10.07
Hersbruck,DE,2020-06-16 01:01:12,49.51,11.43,75,93,59.0,6.93
Maiduguri,NG,2020-06-16 01:01:12,11.85,13.16,26,56,84.87,12.84
Saint-Léonard,CA,2020-06-16 01:01:12,47.17,-67.92,1,47,57.2,2.93
Kovdor,RU,2020-06-16 01:01:12,67.57,30.48,14,55,46.71,8.63
Boa Vista,BR,2020-06-16 01:00:14,2.82,-60.67,58,88,75.2,1.12
Takoradze,GH,2020-06-16 01:01:12,4.88,-1.76,99,83,78.31,4.0
Griffith,US,2020-06-16 01:00:15,41.53,-87.42,1,76,57.99,4.0
Zhoucheng,CN,2020-06-16 00:57:56,35.91,116.31,100,51,79.38,11.74
Logansport,US,2020-06-16 01:01:13,40.75,-86.36,1,63,66.2,5.82
Mayo,US,2020-06-16 01:01:13,38.89,-76.51,20,68,66.99,6.93
Coquimbo,CL,2020-06-16 01:01:13,-29.95,-71.34,90,82,55.4,2.24
Talnakh,RU,2020-06-16 00:59:30,69.49,88.4,90,93,42.8,20.13
Mīnāb,IR,2020-06-16 01:01:13,27.15,57.08,39,71,93.2,2.24
Skibbereen,IE,2020-06-16 01:01:13,51.55,-9.27,75,93,55.4,8.05
Whyalla,AU,2020-06-16 00:57:37,-33.03,137.58,39,55,66.2,9.17
Necochea,AR,2020-06-16 01:01:13,-38.55,-58.74,100,92,50.0,8.99
Jiaojiang,CN,2020-06-16 01:01:13,28.68,121.44,89,65,102.0,3.0
Nuuk,GL,2020-06-16 01:01:13,64.18,-51.72,100,93,35.6,13.87
Babol,IR,2020-06-16 01:01:13,36.55,52.68,0,61,80.6,4.7
Kapit,MY,2020-06-16 01:01:14,2.02,112.93,54,52,93.22,2.82
Salalah,OM,2020-06-16 01:01:14,17.02,54.09,75,74,87.8,2.24
Ucluelet,CA,2020-06-16 00:59:26,48.93,-125.55,100,84,54.0,3.15
Pemberton,CA,2020-06-16 00:57:51,50.32,-122.8,99,67,51.84,2.82
Lithgow,AU,2020-06-16 01:01:14,-33.48,150.15,0,47,71.01,10.18
Bereda,ES,2020-06-16 01:01:14,43.27,-7.54,95,100,55.0,3.0
Mchinji,MW,2020-06-16 01:01:14,-13.8,32.88,0,86,50.79,4.99
‘Ewa Beach,US,2020-06-16 01:01:14,21.32,-158.01,75,57,80.6,12.75
Coyhaique,CL,2020-06-16 01:01:14,-45.58,-72.07,100,83,33.8,3.36
Kuching,MY,2020-06-16 00:56:17,1.55,110.33,40,83,82.4,2.24
Honiara,SB,2020-06-16 01:01:14,-9.43,159.95,75,55,91.4,18.34
Altoona,US,2020-06-16 01:01:14,40.52,-78.39,92,87,55.99,1.81
Dossor,KZ,2020-06-16 01:01:15,47.53,52.98,0,20,78.6,14.07
Karla,EE,2020-06-16 01:01:15,59.37,24.93,20,82,68.0,3.36
Juradó,CO,2020-06-16 01:01:15,7.11,-77.76,70,85,77.99,0.02
La Cruz,MX,2020-06-16 01:01:15,23.92,-106.9,0,87,73.99,3.22
Morondava,MG,2020-06-16 01:01:15,-20.28,44.28,0,68,67.98,7.4
São Desidério,BR,2020-06-16 01:01:15,-12.36,-44.97,12,76,66.9,7.09
Boffa,GN,2020-06-16 01:01:15,10.17,-14.03,86,88,77.04,2.8
Wexford,IE,2020-06-16 01:01:15,52.33,-6.46,88,89,52.0,1.92
Auki,SB,2020-06-16 01:01:15,-8.77,160.7,98,79,82.53,6.44
Distrikt Brokopondo,SR,2020-06-16 01:01:15,4.75,-55.17,88,85,77.18,4.18
Alugan,PH,2020-06-16 01:01:16,12.22,125.48,43,71,84.65,7.58
Santa Lucía,ES,2020-06-16 01:01:16,27.91,-15.54,13,88,71.6,10.29
Sabang,ID,2020-06-16 01:01:16,5.89,95.32,100,77,82.26,16.04
Saravan,AM,2020-06-16 01:01:16,39.72,45.65,0,68,64.4,4.7
Atbasar,KZ,2020-06-16 01:01:16,51.8,68.33,50,49,64.45,11.92
Muli,MV,2020-06-16 01:01:16,2.92,73.57,4,78,84.45,11.97
Chifeng,CN,2020-06-16 01:01:16,42.27,118.96,86,16,90.16,4.21
Avera,US,2020-06-16 01:01:16,33.19,-82.53,75,82,64.4,8.05
Okha,RU,2020-06-16 01:01:16,53.57,142.95,97,84,41.31,9.15
Metković,HR,2020-06-16 01:01:16,43.05,17.65,75,100,62.6,1.12
Deep River,CA,2020-06-16 01:01:16,46.1,-77.5,1,76,52.0,1.68
Hokitika,NZ,2020-06-16 01:01:16,-42.72,170.97,55,90,57.65,1.16
Khanbari,NP,2020-06-16 00:58:25,27.37,87.2,100,69,76.53,2.8
Udachny,RU,2020-06-16 01:01:16,66.42,112.4,90,58,53.6,8.95
Bilibino,RU,2020-06-16 01:01:16,68.05,166.44,43,30,73.24,1.54
Severo-Kuril'sk,RU,2020-06-16 01:01:17,50.68,156.12,97,84,42.94,13.44
Bulungu,CD,2020-06-16 01:01:17,-4.55,18.6,1,61,65.52,3.47
Kemijärvi,FI,2020-06-16 01:01:17,66.71,27.43,11,62,49.64,7.25
Ekhabi,RU,2020-06-16 01:01:17,53.51,142.97,96,83,42.3,9.19
Jeremoabo,BR,2020-06-16 01:01:17,-10.07,-38.48,92,92,69.4,6.64
Kattivākkam,IN,2020-06-16 01:01:17,13.22,80.32,40,44,96.8,9.17
Faanui,PF,2020-06-16 00:58:54,-16.48,-151.75,35,86,78.87,15.9
Evensk,RU,2020-06-16 01:01:17,61.95,159.23,94,46,61.34,8.01
Olivehurst,US,2020-06-16 01:00:15,39.1,-121.55,1,31,73.4,7.78
Saurimo,AO,2020-06-16 01:01:18,-9.66,20.39,1,60,51.85,5.59
Vicuña,CL,2020-06-16 01:01:18,-30.03,-70.71,42,71,50.0,0.96
Fortuna,US,2020-06-16 01:01:18,40.6,-124.16,75,93,57.0,5.82
Kirensk,RU,2020-06-16 01:01:18,57.79,108.11,100,92,55.22,4.9
Mahina,PF,2020-06-16 01:01:18,-17.51,-149.49,40,78,80.6,5.82
Hecun,CN,2020-06-16 01:01:19,36.53,114.11,100,59,72.1,7.7
Ahipara,NZ,2020-06-16 01:01:19,-35.17,173.17,100,81,58.93,8.77
New Ulm,US,2020-06-16 01:00:35,44.31,-94.46,1,57,78.8,14.99
La Rioja,ES,2020-06-16 01:01:19,42.25,-2.5,90,82,59.0,8.05
Peniche,PT,2020-06-16 01:01:19,39.36,-9.38,10,92,61.0,4.0
Rantauprapat,ID,2020-06-16 01:01:19,2.1,99.83,100,64,88.0,4.25
Amboasary,MG,2020-06-16 01:01:19,-25.03,46.38,20,93,62.6,2.24
Santa Isabel do Pará,BR,2020-06-16 01:01:19,-1.3,-48.16,40,94,78.8,4.7
São Joaquim,BR,2020-06-16 01:01:19,-28.29,-49.93,53,100,48.87,4.36
Séguéla,CI,2020-06-16 01:01:19,7.96,-6.67,12,97,70.84,5.41
Vila,PT,2020-06-16 01:01:20,42.03,-8.16,99,93,54.0,3.0
Pelym,RU,2020-06-16 01:01:20,61.01,62.0,63,39,75.09,11.48
Maniitsoq,GL,2020-06-16 01:01:20,65.42,-52.9,98,85,37.06,4.88
Pudozh,RU,2020-06-16 01:01:20,61.81,36.53,0,53,68.25,4.29
Banda Aceh,ID,2020-06-16 01:01:20,5.56,95.32,100,77,81.46,11.05
Carman,CA,2020-06-16 00:59:50,49.5,-98.0,20,48,64.4,3.36
Ayr,GB,2020-06-16 01:01:20,55.46,-4.63,40,93,59.0,4.65
Henties Bay,NA,2020-06-16 01:01:20,-22.12,14.28,0,27,69.15,14.63
Ariquemes,BR,2020-06-16 00:59:22,-9.91,-63.04,90,87,71.2,1.97
Labuhan,ID,2020-06-16 01:01:21,-6.88,112.21,90,68,86.43,8.99
Brae,GB,2020-06-16 01:01:21,60.4,-1.35,0,87,55.4,4.7
Izvor,MK,2020-06-16 01:01:21,42.2,21.58,75,87,59.0,2.24
Ukhta,RU,2020-06-16 01:01:21,63.57,53.68,98,80,63.09,6.02
Pizarro,CO,2020-06-16 01:01:21,4.95,-77.37,88,87,78.39,3.42
Tartous,SY,2020-06-16 01:01:21,34.89,35.89,0,64,73.0,5.82
Alekseyevsk,RU,2020-06-16 01:01:21,57.84,108.35,100,92,56.14,5.73
Safi,MA,2020-06-16 01:01:21,32.3,-9.24,71,75,66.69,11.72
Bridgewater,CA,2020-06-16 01:00:15,44.38,-64.52,61,95,48.0,2.1
Chapais,CA,2020-06-16 01:01:21,49.78,-74.85,1,58,55.4,5.82
Tarazá,CO,2020-06-16 01:01:21,7.58,-75.4,92,88,76.08,1.25
Lowestoft,GB,2020-06-16 01:01:21,52.48,1.75,100,99,57.99,1.01
Mocuba,MZ,2020-06-16 01:01:21,-16.84,36.99,28,95,59.9,4.79
Cranbourne,AU,2020-06-16 01:00:45,-38.1,145.28,97,66,62.01,13.15
Puksoozero,RU,2020-06-16 01:01:22,62.59,40.61,3,55,67.17,7.45
Tiarei,PF,2020-06-16 01:01:22,-17.53,-149.33,40,78,80.6,5.82
Manicoré,BR,2020-06-16 01:01:22,-5.81,-61.3,36,100,73.4,1.12
Nome,US,2020-06-16 01:01:22,64.5,-165.41,1,51,64.0,4.7
Beloha,MG,2020-06-16 01:01:22,-25.17,45.05,4,80,64.92,11.36
Ygatimi,PY,2020-06-16 01:01:23,-24.08,-55.5,0,77,69.4,7.58
Mananjary,MG,2020-06-16 01:01:23,-21.22,48.33,17,82,65.66,6.38
Lewistown,US,2020-06-16 01:01:23,40.6,-77.57,1,93,57.2,2.86
Harper,LR,2020-06-16 01:01:23,4.38,-7.72,76,83,77.45,5.93
Krasnyy Chikoy,RU,2020-06-16 01:01:23,50.36,108.75,98,35,83.53,2.04
Mossamedes,AO,2020-06-16 01:01:23,-15.2,12.15,0,52,69.93,3.76
Bañga,PH,2020-06-16 01:01:23,6.42,124.78,20,55,91.4,6.93
Marsh Harbour,BS,2020-06-16 01:01:23,26.54,-77.06,92,78,79.77,10.54
Manokwari,ID,2020-06-16 01:01:24,-0.87,134.08,21,67,85.26,5.61
Haines Junction,CA,2020-06-16 01:01:24,60.75,-137.51,100,60,60.37,4.68
Guaíba,BR,2020-06-16 01:00:25,-30.11,-51.33,20,100,57.0,1.12
Havre-St-Pierre,CA,2020-06-16 01:01:24,50.23,-63.6,75,87,46.4,5.82
